timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Ekurhuleni,No,363475,31.8,,,,,Gauteng,Ekurhuleni,Ekurhuleni,DsSchoolAttendences
Census 2022,Municipality,Emfuleni,Yes,211970,72.8,,,,,Gauteng,Sedibeng,Emfuleni,DsSchoolAttendences
Census 2022,Municipality,Emfuleni,No,79078,27.2,,,,,Gauteng,Sedibeng,Emfuleni,DsSchoolAttendences
Census 2022,Municipality,Lesedi,Yes,30079,71.5,,,,,Gauteng,Sedibeng,Lesedi,DsSchoolAttendences
Census 2022,Municipality,Lesedi,No,11992,28.5,,,,,Gauteng,Sedibeng,Lesedi,DsSchoolAttendences
Census 2022,Municipality,Midvaal,Yes,21990,70.6,,,,,Gauteng,Sedibeng,Midvaal,DsSchoolAttendences
Census 2022,Municipality,Midvaal,No,9167,29.4,,,,,Gauteng,Sedibeng,Midvaal,DsSchoolAttendences
Census 2022,Municipality,Merafong City,Yes,47618,70.1,,,,,Gauteng,West Rand,Merafong City,DsSchoolAttendences
Census 2022,Municipality,Merafong City,No,20355,29.9,,,,,Gauteng,West Rand,Merafong City,DsSchoolAttendences
Census 2022,Municipality,Mogale City,Yes,88812,68.8,,,,,Gauteng,West Rand,Mogale City,DsSchoolAttendences
Census 2022,Municipality,Mogale City,No,40182,31.2,,,,,Gauteng,West Rand,Mogale City,DsSchoolAttendences
Census 2022,Municipality,Rand West City,Yes,71636,68.4,,,,,Gauteng,West Rand,Rand West City,DsSchoolAttendences
Census 2022,Municipality,Rand West City,No,33110,31.6,,,,,Gauteng,West Rand,Rand West City,DsSchoolAttendences
Census 2022,Municipality,Dannhauser,Yes,43383,77.0,,,,,KwaZulu-Natal,Amajuba,Dannhauser,DsSchoolAttendences
Census 2022,Municipality,Dannhauser,No,12925,23.0,,,,,KwaZulu-Natal,Amajuba,Dannhauser,DsSchoolAttendences
Census 2022,Municipality,Emadlangeni,Yes,9772,73.0,,,,,KwaZulu-Natal,Amajuba,Emadlangeni,DsSchoolAttendences
Census 2022,Municipality,Emadlangeni,No,3605,26.9,,,,,KwaZulu-Natal,Amajuba,Emadlangeni,DsSchoolAttendences
Census 2022,Municipality,Newcastle,Yes,138539,76.4,,,,,KwaZulu-Natal,Amajuba,Newcastle,DsSchoolAttendences
Census 2022,Municipality,Newcastle,No,42910,23.6,,,,,KwaZulu-Natal,Amajuba,Newcastle,DsSchoolAttendences
Census 2022,Municipality,eThekwini,Yes,805314,67.7,,,,,KwaZulu-Natal,eThekwini,eThekwini,DsSchoolAttendences
Census 2022,Municipality,eThekwini,No,384002,32.3,,,,,KwaZulu-Natal,eThekwini,eThekwini,DsSchoolAttendences
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,Yes,38809,80.7,,,,,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsSchoolAttendences
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,No,9256,19.3,,,,,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsSchoolAttendences
Census 2022,Municipality,Greater Kokstad,Yes,21774,75.6,,,,,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsSchoolAttendences
Census 2022,Municipality,Greater Kokstad,No,7029,24.4,,,,,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsSchoolAttendences
Census 2022,Municipality,Ubuhlebezwe,Yes,38783,78.2,,,,,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsSchoolAttendences
Census 2022,Municipality,Ubuhlebezwe,No,10819,21.8,,,,,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsSchoolAttendences
Census 2022,Municipality,Umzimkhulu,Yes,73865,81.2,,,,,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsSchoolAttendences
Census 2022,Municipality,Umzimkhulu,No,17134,18.8,,,,,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsSchoolAttendences
Census 2022,Municipality,KwaDukuza,Yes,69882,68.6,,,,,KwaZulu-Natal,iLembe,KwaDukuza,DsSchoolAttendences
