timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Engcobo,Removed by local authority less often,10,0.0,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Engcobo,Communal refuse dump,361,1.5,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Engcobo,Communal container/central collection point,39,0.2,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Engcobo,Own refuse dump,12634,52.0,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Engcobo,No Rubbish Disposal,3868,15.9,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Engcobo,Other,814,3.3,Eastern Cape,Chris Hani,Engcobo,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Removed by local authority at least once a week,39543,40.9,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Removed by local authority less often,1292,1.3,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Communal refuse dump,980,1.0,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Communal container/central collection point,2110,2.2,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Own refuse dump,39692,41.0,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,No Rubbish Disposal,10841,11.2,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Enoch Mgijima,Other,2332,2.4,Eastern Cape,Chris Hani,Enoch Mgijima,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Removed by local authority at least once a week,9491,29.4,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Removed by local authority less often,25,0.1,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Communal refuse dump,637,2.0,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Communal container/central collection point,124,0.4,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Own refuse dump,16709,51.8,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,No Rubbish Disposal,3831,11.9,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
Census 2022,Municipality,Intsika Yethu,Other,1411,4.4,Eastern Cape,Chris Hani,Intsika Yethu,DsRefuseDisposals
