timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Sakhisizwe,Completed Primary,2225,6.2,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,Some Secondary,14394,40.1,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,Grade 12/Std10,7933,22.1,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,Higher Education,2474,6.9,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Sakhisizwe,Other,141,0.4,,,,,Eastern Cape,Chris Hani,Sakhisizwe,DsHighestLevelEducations
Census 2022,Municipality,Elundini,No Schooling,7106,8.9,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Some Primary,15725,19.8,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Completed Primary,5687,7.2,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Some Secondary,30538,38.4,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Grade 12/Std10,15700,19.7,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Higher Education,4481,5.6,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Elundini,Other,286,0.4,,,,,Eastern Cape,Joe Gqabi,Elundini,DsHighestLevelEducations
Census 2022,Municipality,Senqu,No Schooling,8722,10.7,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Some Primary,14668,18.0,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Completed Primary,5231,6.4,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Some Secondary,29243,35.9,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Grade 12/Std10,18250,22.4,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Higher Education,5024,6.2,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Senqu,Other,429,0.5,,,,,Eastern Cape,Joe Gqabi,Senqu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,No Schooling,5172,8.4,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Some Primary,8003,13.1,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Completed Primary,3136,5.1,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Some Secondary,21905,35.7,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Grade 12/Std10,17058,27.8,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Higher Education,5593,9.1,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Walter Sisulu,Other,408,0.7,,,,,Eastern Cape,Joe Gqabi,Walter Sisulu,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,No Schooling,19305,2.5,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,Some Primary,45124,5.8,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,Completed Primary,26560,3.4,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,Some Secondary,292785,37.6,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,Grade 12/Std10,288336,37.0,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
Census 2022,Municipality,Nelson Mandela Bay,Higher Education,99819,12.8,,,,,Eastern Cape,Nelson Mandela Bay,Nelson Mandela Bay,DsHighestLevelEducations
