timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Raymond Mhlaba,Pit toilet,33.7,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
Census 2022,Municipality,Raymond Mhlaba,Bucket toilet,0.8,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
Census 2022,Municipality,Raymond Mhlaba,Other,1.7,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
Census 2022,Municipality,Raymond Mhlaba,None,0.9,Eastern Cape,Amathole,Raymond Mhlaba,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,Flush toilet,80.7,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,Chemical toilet,1.2,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,Pit toilet,16.0,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,Bucket toilet,0.7,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,Other,0.6,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Buffalo City,None,0.8,Eastern Cape,Buffalo City,Buffalo City,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,Flush toilet,38.6,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,Chemical toilet,5.0,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,Pit toilet,39.7,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,Bucket toilet,1.2,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,Other,3.2,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Emalahleni,None,12.4,Eastern Cape,Chris Hani,Emalahleni,DsMainToiletFacilitys
Census 2022,Municipality,Engcobo,Flush toilet,28.7,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
Census 2022,Municipality,Engcobo,Chemical toilet,8.2,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
Census 2022,Municipality,Engcobo,Pit toilet,47.4,Eastern Cape,Chris Hani,Engcobo,DsMainToiletFacilitys
