timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Mangaung,FEMALE,425620,52.5,,,,,Free State,Mangaung,Mangaung,DsSexes
Census 2022,Municipality,Dihlabeng,MALE,60864,46.7,,,,,Free State,Thabo Mofutsanyane,Dihlabeng,DsSexes
Census 2022,Municipality,Dihlabeng,FEMALE,69571,53.3,,,,,Free State,Thabo Mofutsanyane,Dihlabeng,DsSexes
Census 2022,Municipality,Maluti a Phofung,MALE,184386,46.3,,,,,Free State,Thabo Mofutsanyane,Maluti a Phofung,DsSexes
Census 2022,Municipality,Maluti a Phofung,FEMALE,214074,53.7,,,,,Free State,Thabo Mofutsanyane,Maluti a Phofung,DsSexes
Census 2022,Municipality,Mantsopa,MALE,26361,47.2,,,,,Free State,Thabo Mofutsanyane,Mantsopa,DsSexes
Census 2022,Municipality,Mantsopa,FEMALE,29536,52.8,,,,,Free State,Thabo Mofutsanyane,Mantsopa,DsSexes
Census 2022,Municipality,Nketoana,MALE,31260,47.0,,,,,Free State,Thabo Mofutsanyane,Nketoana,DsSexes
Census 2022,Municipality,Nketoana,FEMALE,35228,53.0,,,,,Free State,Thabo Mofutsanyane,Nketoana,DsSexes
Census 2022,Municipality,Phumelela,MALE,25033,47.9,,,,,Free State,Thabo Mofutsanyane,Phumelela,DsSexes
Census 2022,Municipality,Phumelela,FEMALE,27191,52.1,,,,,Free State,Thabo Mofutsanyane,Phumelela,DsSexes
Census 2022,Municipality,Setsoto,MALE,59948,46.9,,,,,Free State,Thabo Mofutsanyane,Setsoto,DsSexes
Census 2022,Municipality,Setsoto,FEMALE,67970,53.1,,,,,Free State,Thabo Mofutsanyane,Setsoto,DsSexes
Census 2022,Municipality,Kopanong,MALE,24567,47.4,,,,,Free State,Xhariep,Kopanong,DsSexes
Census 2022,Municipality,Kopanong,FEMALE,27265,52.6,,,,,Free State,Xhariep,Kopanong,DsSexes
Census 2022,Municipality,Letsemeng,MALE,21056,48.9,,,,,Free State,Xhariep,Letsemeng,DsSexes
Census 2022,Municipality,Letsemeng,FEMALE,22045,51.1,,,,,Free State,Xhariep,Letsemeng,DsSexes
Census 2022,Municipality,Mohokare,MALE,17621,47.7,,,,,Free State,Xhariep,Mohokare,DsSexes
Census 2022,Municipality,Mohokare,FEMALE,19347,52.3,,,,,Free State,Xhariep,Mohokare,DsSexes
Census 2022,Municipality,City of Johannesburg,MALE,2419151,50.4,,,,,Gauteng,City of Johannesburg,City of Johannesburg,DsSexes
Census 2022,Municipality,City of Johannesburg,FEMALE,2384111,49.6,,,,,Gauteng,City of Johannesburg,City of Johannesburg,DsSexes
Census 2022,Municipality,City of Tshwane,MALE,2025279,50.1,,,,,Gauteng,City of Tshwane,City of Tshwane,DsSexes
Census 2022,Municipality,City of Tshwane,FEMALE,2015036,49.9,,,,,Gauteng,City of Tshwane,City of Tshwane,DsSexes
Census 2022,Municipality,Ekurhuleni,MALE,2077352,51.1,,,,,Gauteng,Ekurhuleni,Ekurhuleni,DsSexes
Census 2022,Municipality,Ekurhuleni,FEMALE,1989339,48.9,,,,,Gauteng,Ekurhuleni,Ekurhuleni,DsSexes
Census 2022,Municipality,Emfuleni,MALE,468231,49.5,,,,,Gauteng,Sedibeng,Emfuleni,DsSexes
Census 2022,Municipality,Emfuleni,FEMALE,477420,50.5,,,,,Gauteng,Sedibeng,Emfuleni,DsSexes
Census 2022,Municipality,Lesedi,MALE,66404,50.0,,,,,Gauteng,Sedibeng,Lesedi,DsSexes
Census 2022,Municipality,Lesedi,FEMALE,66380,50.0,,,,,Gauteng,Sedibeng,Lesedi,DsSexes
Census 2022,Municipality,Midvaal,MALE,56349,50.2,,,,,Gauteng,Sedibeng,Midvaal,DsSexes
Census 2022,Municipality,Midvaal,FEMALE,55905,49.8,,,,,Gauteng,Sedibeng,Midvaal,DsSexes
Census 2022,Municipality,Merafong City,MALE,114789,50.9,,,,,Gauteng,West Rand,Merafong City,DsSexes
Census 2022,Municipality,Merafong City,FEMALE,110687,49.1,,,,,Gauteng,West Rand,Merafong City,DsSexes
Census 2022,Municipality,Mogale City,MALE,221672,50.6,,,,,Gauteng,West Rand,Mogale City,DsSexes
Census 2022,Municipality,Mogale City,FEMALE,216545,49.4,,,,,Gauteng,West Rand,Mogale City,DsSexes
Census 2022,Municipality,Rand West City,MALE,168726,50.4,,,,,Gauteng,West Rand,Rand West City,DsSexes
Census 2022,Municipality,Rand West City,FEMALE,166047,49.6,,,,,Gauteng,West Rand,Rand West City,DsSexes
Census 2022,Municipality,Dannhauser,MALE,68839,48.2,,,,,KwaZulu-Natal,Amajuba,Dannhauser,DsSexes
Census 2022,Municipality,Dannhauser,FEMALE,73911,51.8,,,,,KwaZulu-Natal,Amajuba,Dannhauser,DsSexes
Census 2022,Municipality,Emadlangeni,MALE,18189,49.2,,,,,KwaZulu-Natal,Amajuba,Emadlangeni,DsSexes
Census 2022,Municipality,Emadlangeni,FEMALE,18759,50.8,,,,,KwaZulu-Natal,Amajuba,Emadlangeni,DsSexes
Census 2022,Municipality,Newcastle,MALE,243434,47.9,,,,,KwaZulu-Natal,Amajuba,Newcastle,DsSexes
Census 2022,Municipality,Newcastle,FEMALE,264276,52.1,,,,,KwaZulu-Natal,Amajuba,Newcastle,DsSexes
Census 2022,Municipality,eThekwini,MALE,2072331,48.9,,,,,KwaZulu-Natal,eThekwini,eThekwini,DsSexes
Census 2022,Municipality,eThekwini,FEMALE,2167569,51.1,,,,,KwaZulu-Natal,eThekwini,eThekwini,DsSexes
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,MALE,60873,47.3,,,,,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsSexes
Census 2022,Municipality,Dr Nkosazana Dlamini Zuma,FEMALE,67692,52.7,,,,,KwaZulu-Natal,Harry Gwala,Dr Nkosazana Dlamini Zuma,DsSexes
Census 2022,Municipality,Greater Kokstad,MALE,39048,47.8,,,,,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsSexes
Census 2022,Municipality,Greater Kokstad,FEMALE,42628,52.2,,,,,KwaZulu-Natal,Harry Gwala,Greater Kokstad,DsSexes
Census 2022,Municipality,Ubuhlebezwe,MALE,62618,47.1,,,,,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsSexes
Census 2022,Municipality,Ubuhlebezwe,FEMALE,70414,52.9,,,,,KwaZulu-Natal,Harry Gwala,Ubuhlebezwe,DsSexes
Census 2022,Municipality,Umzimkhulu,MALE,101416,46.0,,,,,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsSexes
Census 2022,Municipality,Umzimkhulu,FEMALE,119203,54.0,,,,,KwaZulu-Natal,Harry Gwala,Umzimkhulu,DsSexes
Census 2022,Municipality,KwaDukuza,MALE,156627,48.2,,,,,KwaZulu-Natal,iLembe,KwaDukuza,DsSexes
Census 2022,Municipality,KwaDukuza,FEMALE,168285,51.8,,,,,KwaZulu-Natal,iLembe,KwaDukuza,DsSexes
Census 2022,Municipality,Mandeni,MALE,85891,47.5,,,,,KwaZulu-Natal,iLembe,Mandeni,DsSexes
Census 2022,Municipality,Mandeni,FEMALE,95049,52.5,,,,,KwaZulu-Natal,iLembe,Mandeni,DsSexes
Census 2022,Municipality,Maphumulo,MALE,50165,45.2,,,,,KwaZulu-Natal,iLembe,Maphumulo,DsSexes
Census 2022,Municipality,Maphumulo,FEMALE,60819,54.8,,,,,KwaZulu-Natal,iLembe,Maphumulo,DsSexes
Census 2022,Municipality,Ndwedwe,MALE,78518,47.3,,,,,KwaZulu-Natal,iLembe,Ndwedwe,DsSexes
Census 2022,Municipality,Ndwedwe,FEMALE,87309,52.7,,,,,KwaZulu-Natal,iLembe,Ndwedwe,DsSexes
Census 2022,Municipality,Mfolozi,MALE,76886,48.2,,,,,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsSexes
Census 2022,Municipality,Mfolozi,FEMALE,82782,51.8,,,,,KwaZulu-Natal,King Cetshwayo,Mfolozi,DsSexes
Census 2022,Municipality,Mthonjaneni,MALE,45472,45.8,,,,,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsSexes
Census 2022,Municipality,Mthonjaneni,FEMALE,53816,54.2,,,,,KwaZulu-Natal,King Cetshwayo,Mthonjaneni,DsSexes
Census 2022,Municipality,Nkandla,MALE,49517,45.5,,,,,KwaZulu-Natal,King Cetshwayo,Nkandla,DsSexes
Census 2022,Municipality,Nkandla,FEMALE,59379,54.5,,,,,KwaZulu-Natal,King Cetshwayo,Nkandla,DsSexes
Census 2022,Municipality,uMhlathuze,MALE,199907,48.5,,,,,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsSexes
Census 2022,Municipality,uMhlathuze,FEMALE,212168,51.5,,,,,KwaZulu-Natal,King Cetshwayo,uMhlathuze,DsSexes
Census 2022,Municipality,uMlalazi,MALE,111528,46.2,,,,,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsSexes
Census 2022,Municipality,uMlalazi,FEMALE,129888,53.8,,,,,KwaZulu-Natal,King Cetshwayo,uMlalazi,DsSexes
Census 2022,Municipality,Ray Nkonyeni,MALE,171980,47.5,,,,,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsSexes
Census 2022,Municipality,Ray Nkonyeni,FEMALE,190154,52.5,,,,,KwaZulu-Natal,Ugu,Ray Nkonyeni,DsSexes
Census 2022,Municipality,Umdoni,MALE,74392,47.6,,,,,KwaZulu-Natal,Ugu,Umdoni,DsSexes
Census 2022,Municipality,Umdoni,FEMALE,82051,52.4,,,,,KwaZulu-Natal,Ugu,Umdoni,DsSexes
Census 2022,Municipality,uMuziwabantu,MALE,54516,47.1,,,,,KwaZulu-Natal,Ugu,uMuziwabantu,DsSexes
Census 2022,Municipality,uMuziwabantu,FEMALE,61263,52.9,,,,,KwaZulu-Natal,Ugu,uMuziwabantu,DsSexes
Census 2022,Municipality,Umzumbe,MALE,65513,47.1,,,,,KwaZulu-Natal,Ugu,Umzumbe,DsSexes
Census 2022,Municipality,Umzumbe,FEMALE,73532,52.9,,,,,KwaZulu-Natal,Ugu,Umzumbe,DsSexes
Census 2022,Municipality,Impendle,MALE,17422,47.5,,,,,KwaZulu-Natal,Umgungundlovu,Impendle,DsSexes
Census 2022,Municipality,Impendle,FEMALE,19226,52.5,,,,,KwaZulu-Natal,Umgungundlovu,Impendle,DsSexes
Census 2022,Municipality,Mkhambathini,MALE,29229,47.4,,,,,KwaZulu-Natal,Umgungundlovu,Mkhambathini,DsSexes
Census 2022,Municipality,Mkhambathini,FEMALE,32432,52.6,,,,,KwaZulu-Natal,Umgungundlovu,Mkhambathini,DsSexes
Census 2022,Municipality,Mpofana,MALE,15764,47.2,,,,,KwaZulu-Natal,Umgungundlovu,Mpofana,DsSexes
Census 2022,Municipality,Mpofana,FEMALE,17618,52.8,,,,,KwaZulu-Natal,Umgungundlovu,Mpofana,DsSexes
Census 2022,Municipality,Richmond,MALE,30440,48.5,,,,,KwaZulu-Natal,Umgungundlovu,Richmond,DsSexes
Census 2022,Municipality,Richmond,FEMALE,32313,51.5,,,,,KwaZulu-Natal,Umgungundlovu,Richmond,DsSexes
Census 2022,Municipality,The Msunduzi,MALE,390308,47.7,,,,,KwaZulu-Natal,Umgungundlovu,The Msunduzi,DsSexes
Census 2022,Municipality,The Msunduzi,FEMALE,427417,52.3,,,,,KwaZulu-Natal,Umgungundlovu,The Msunduzi,DsSexes
Census 2022,Municipality,uMngeni,MALE,50012,47.6,,,,,KwaZulu-Natal,Umgungundlovu,uMngeni,DsSexes
Census 2022,Municipality,uMngeni,FEMALE,55057,52.4,,,,,KwaZulu-Natal,Umgungundlovu,uMngeni,DsSexes
Census 2022,Municipality,uMshwathi,MALE,55837,47.1,,,,,KwaZulu-Natal,Umgungundlovu,uMshwathi,DsSexes
Census 2022,Municipality,uMshwathi,FEMALE,62641,52.9,,,,,KwaZulu-Natal,Umgungundlovu,uMshwathi,DsSexes
Census 2022,Municipality,Big Five Hlabisa,MALE,60993,46.3,,,,,KwaZulu-Natal,Umkhanyakude,Big Five Hlabisa,DsSexes
Census 2022,Municipality,Big Five Hlabisa,FEMALE,70761,53.7,,,,,KwaZulu-Natal,Umkhanyakude,Big Five Hlabisa,DsSexes
Census 2022,Municipality,Jozini,MALE,93016,46.7,,,,,KwaZulu-Natal,Umkhanyakude,Jozini,DsSexes
Census 2022,Municipality,Jozini,FEMALE,106137,53.3,,,,,KwaZulu-Natal,Umkhanyakude,Jozini,DsSexes
Census 2022,Municipality,Mtubatuba,MALE,100941,46.8,,,,,KwaZulu-Natal,Umkhanyakude,Mtubatuba,DsSexes
Census 2022,Municipality,Mtubatuba,FEMALE,114928,53.2,,,,,KwaZulu-Natal,Umkhanyakude,Mtubatuba,DsSexes
Census 2022,Municipality,Umhlabuyalingana,MALE,88753,46.3,,,,,KwaZulu-Natal,Umkhanyakude,Umhlabuyalingana,DsSexes
Census 2022,Municipality,Umhlabuyalingana,FEMALE,102907,53.7,,,,,KwaZulu-Natal,Umkhanyakude,Umhlabuyalingana,DsSexes
Census 2022,Municipality,Endumeni,MALE,48391,48.3,,,,,KwaZulu-Natal,Umzinyathi,Endumeni,DsSexes
Census 2022,Municipality,Endumeni,FEMALE,51695,51.7,,,,,KwaZulu-Natal,Umzinyathi,Endumeni,DsSexes
Census 2022,Municipality,Msinga,MALE,89746,43.6,,,,,KwaZulu-Natal,Umzinyathi,Msinga,DsSexes
Census 2022,Municipality,Msinga,FEMALE,116255,56.4,,,,,KwaZulu-Natal,Umzinyathi,Msinga,DsSexes
Census 2022,Municipality,Nqutu,MALE,93058,46.3,,,,,KwaZulu-Natal,Umzinyathi,Nqutu,DsSexes
